lex1;lex_utf81
MQVR/;מקטר֜
GG/;גג֜
QJR/;קיר֜
MXYJT/;מחצית֜
GRH/;גרה֜
<CJR/;עשׁיר֜
KJWR/;כיור֜
MR==/;מר֜
DRWR/;דרור֜
QNMWN/;קנמון֜
QDH/;קדה֜
RQX/;רקח֜
MRQXT/;מרקחת֜
RQX[;רקח
JSK[;יסך
NVP/;נטף֜
CXLT/;שׁחלת֜
XLBNH/;חלבנה֜
LBNH=/;לבנה֜
MLX[;מלח
CXQ[;שׁחק
DQQ[;דקק
BYL>L/;בצלאל֜
>WRJ/;אורי֜
TBWNH/;תבונה֜
XRCT/;חרשׁת֜
>HLJ>B/;אהליאב֜
>XJSMK/;אחיסמך֜
FRD=/;שׂרד֜
QHL[;קהל
YWR==[;צור
XRV/;חרט֜
<GL/;עגל֜
MSKH/;מסכה֜
MKTB/;מכתב֜
XRT[;חרת
R<==/;רע֜
GBWRH/;גבורה֜
XLWCH/;חלושׁה֜
VXN[;טחן
ZRH[;זרה
CMYH/;שׁמצה֜
<DJ/;עדי֜
RG</;רגע֜
NWN/;נון֜
RXM[;רחם
NQRH/;נקרה֜
FKK[;שׂכך
PSL[;פסל
RXWM/;רחום֜
>RK/;ארך֜
NYR[;נצר
XV>H=/;חטאה֜
SLX[;סלח
NTY[;נתץ
>CRH/;אשׁרה֜
TQWPH/;תקופה֜
QRN[;קרן
MSWH/;מסוה֜
NDJB/;נדיב֜
MJTR/;מיתר֜
XX/;חח֜
KWMZ/;כומז֜
VWH[;טוה
MVWH/;מטוה֜
NDBH/;נדבה֜
MXCBT/;מחשׁבת֜
DJ/;די֜
QYT/;קצת֜
YB>[;צבא
YPWJ/;צפוי֜
RQ<[;רקע
PX/;פח֜
QYY[;קצץ
P>R/;פאר֜
M<RKH/;מערכה֜
<RK/;ערך֜
QRBN/;קרבן֜
PDR/;פדר֜
MLQ[;מלק
MYH[;מצה
MR>H==/;מראה֜
NYH/;נצה֜
DCN/;דשׁן֜
CS<[;שׁסע
QMY[;קמץ
>ZKRH/;אזכרה֜
M>PH/;מאפה֜
MXBT/;מחבת֜
PTT[;פתת
MRXCT/;מרחשׁת֜
QLH[;קלה
GRF/;גרשׂ֜
KRML=/;כרמל֜
KSL=/;כסל֜
<YH==/;עצה֜
CGGH/;שׁגגה֜
MCJX/;משׁיח֜
>CM[;אשׁם
CPK/;שׁפך֜
CGH[;שׁגה
<LM[;עלם
F<JRH/;שׂעירה֜
VM>/;טמא֜
NBLH=/;נבלה֜
VM>H/;טמאה֜
BV>[;בטא
KFBH/;כשׂבה֜
M<L[;מעל
M<L=/;מעל֜
CGG[;שׁגג
<MJT/;עמית֜
TFWMT/;תשׂומת֜
GZL/;גזל֜
<CQ[;עשׁק
GZLH/;גזלה֜
<CQ/;עשׁק֜
>CMH/;אשׁמה֜
MWQDH/;מוקדה֜
JQD[;יקד
MD/;מד֜
KBH[;כבה
RBK[;רבך
TPJNJM/;תפינים֜
XRF/;חרשׂ֜
MRQ[;מרק
CVP[;שׁטף
XRB==/;חרב֜
TWDH/;תודה֜
PGWL/;פגול֜
CQY/;שׁקץ֜
MCXH==/;משׁחה֜
MKSH=/;מכסה֜
RNN[;רנן
DWD/;דוד֜
PRM[;פרם
CKR=/;שׁכר֜
XL/;חל֜
PNJMH;פנימה
PRS[;פרס
CS</;שׁסע֜
GRH=/;גרה֜
CPN/;שׁפן֜
>RNBT/;ארנבת֜
XZJR/;חזיר֜
GRR[;גרר
SNPJR/;סנפיר֜
QFQFT/;קשׂקשׂת֜
CQY[;שׁקץ
PRS/;פרס֜
<ZNJH/;עזניה֜
D>H/;דאה֜
>JH/;איה֜
J<NH/;יענה֜
TXMS/;תחמס֜
CXP/;שׁחף֜
NY/;נץ֜
KWS=/;כוס֜
CLK/;שׁלך֜
JNCWP/;ינשׁוף֜
TNCMT/;תנשׁמת֜
Q>T/;קאת֜
RXM=/;רחם֜
XSJDH/;חסידה֜
>NPH/;אנפה֜
DWKJPT/;דוכיפת֜
<VLP/;עטלף֜
NTR[;נתר
SL<M/;סלעם֜
XRGL/;חרגל֜
XGB/;חגב֜
XLD=/;חלד֜
<KBR/;עכבר֜
YB/;צב֜
>NQH=/;אנקה֜
KX=/;כח֜
LV>H/;לטאה֜
XMV/;חמט֜
TNCMT=/;תנשׁמת֜
KJR/;כיר֜
ZRW<=/;זרוע֜
NDH/;נדה֜
DWH[;דוה
VHRH/;טהרה֜
MQWR/;מקור֜
SPXT/;ספחת֜
BHRT/;בהרת֜
YR<T/;צרעת֜
<MQ=/;עמק֜
PFH[;פשׂה
MSPXT/;מספחת֜
JCN[;ישׁן
>DMDM/;אדמדם֜
CPL/;שׁפל֜
KHH/;כהה֜
YRBT/;צרבת֜
MKWH/;מכוה֜
ZQN=/;זקן֜
YHB/;צהב֜
NTQ/;נתק֜
CXR=/;שׁחר֜
BQR[;בקר
BHQ/;בהק֜
MRV[;מרט
QRX=/;קרח֜
GBX/;גבח֜
QRXT/;קרחת֜
GBXT/;גבחת֜
FPM/;שׂפם֜
<VH[;עטה
BDD/;בדד֜
YMR/;צמר֜
PCT/;פשׁת֜
CTJ/;שׁתי֜
<RB==/;ערב֜
JRQRQ/;ירקרק֜
M>R[;מאר
PXTT/;פחתת֜
>RZ/;ארז֜
GB/;גב֜
LG/;לג֜
FM>LJ/;שׂמאלי֜
CQ<RWRH/;שׁקערורה֜
XLY[;חלץ
QY<=[;קצע
QYH[;קצה
VWX[;טוח
ZWB/;זוב֜
RJR[;ריר
XTM[;חתם
RQQ[;רקק
MRKB/;מרכב֜
NZR[;נזר
DWH/;דוה֜
YNP[;צנף
GWRL/;גורל֜
<Z>ZL/;עזאזל֜
GXL=/;גחל֜
<TJ/;עתי֜
GZRH/;גזרה֜
F<JR=/;שׂעיר֜
C>RH/;שׁארה֜
ZMH/;זמה֜
CKBT/;שׁכבת֜
MLK=/;מלך֜
RB<=[;רבע
TBL=/;תבל֜
QJ>[;קיא
>LJL/;אליל֜
QYR=[;קצר
LQV/;לקט֜
PRV/;פרט֜
P<LH/;פעלה֜
MKCWL/;מכשׁול֜
<WL=/;עול֜
YDQ/;צדק֜
RKJL/;רכיל֜
NVR=[;נטר
KL>JM/;כלאים֜
C<VNZ/;שׁעטנז֜
XRP=[;חרף
XPCH/;חפשׁה֜
BQRT/;בקרת֜
XPC[;חפשׁ
<RL[;ערל
HLWLJM/;הלולים֜
NQP[;נקף
FRV/;שׂרט֜
KTBT/;כתבת֜
Q<Q</;קעקע֜
>WB/;אוב֜
JD<NJ/;ידעני֜
MFWRH/;משׂורה֜
M>ZNJM/;מאזנים֜
RGM[;רגם
XSD=/;חסד֜
QRX[;קרח
QRXH/;קרחה֜
FRV[;שׂרט
FRVT/;שׂרטת֜
BTWLJM/;בתולים֜
M>WM/;מאום֜
PSX=/;פסח֜
XRM=[;חרם
FR<[;שׂרע
CBR/;שׁבר֜
GBN/;גבן֜
TBLL/;תבלל֜
GRB/;גרב֜
JLPT/;ילפת֜
MRWX/;מרוח֜
>CK/;אשׁך֜
<WRT/;עורת֜
CBWR/;שׁבור֜
XRWY=/;חרוץ֜
JBLT/;יבלת֜
QLV[;קלט
M<K[;מעך
KTT[;כתת
NTQ[;נתק
MCXT==/;משׁחת֜
<MR=/;עמר֜
QLJ/;קלי֜
TRW<H/;תרועה֜
<YRT/;עצרת֜
HDR/;הדר֜
KPH/;כפה֜
<NP/;ענף֜
<BWT/;עבות֜
<RBH=/;ערבה֜
M<RKT/;מערכת֜
JFR>LJ/;ישׂראלי֜
CLMJT/;שׁלמית֜
DBRJ/;דברי֜
PRC[;פרשׁ
ZMR=[;זמר
SPJX/;ספיח֜
BYR[;בצר
DRWR=/;דרור֜
MMKR/;ממכר֜
JCN=/;ישׁן֜
TCJ<J/;תשׁיעי֜
YMTT/;צמתת֜
G>LH/;גאלה֜
MWK[;מוך
MGRC/;מגרשׁ֜
MWV[;מוט
TRBJT/;תרבית֜
MRBJT/;מרבית֜
MMKRT/;ממכרת֜
<QR=/;עקר֜
MFKJT/;משׂכית֜
JBWL/;יבול֜
DJC/;דישׁ֜
BYJR/;בציר֜
G<L[;געל
MWVH/;מוטה֜
QWMMJWT/;קוממיות֜
M>S[;מאס
BHLH/;בהלה֜
CXPT/;שׁחפת֜
QDXT/;קדחת֜
DWB[;דוב
RJQ/;ריק֜
JSR[;יסר
NXWCH/;נחושׁה֜
QRJ/;קרי֜
MKH/;מכה֜
CMM[;שׁמם
NQM/;נקם֜
BMH/;במה֜
XMN/;חמן֜
GLWLJM/;גלולים֜
XRBH=/;חרבה֜
RYH=[;רצה
MRK/;מרך֜
NDP[;נדף
MNWSH/;מנוסה֜
KCL[;כשׁל
TQWMH/;תקומה֜
MQQ[;מקק
KN<[;כנע
MWR[;מור
TMWRH/;תמורה֜
XRM/;חרם֜
BKR[;בכר
>LJYWR/;אליצור֜
CDJ>WR/;שׁדיאור֜
CLMJ>L/;שׁלמיאל֜
YWRJCDJ/;צורישׁדי֜
NTN>L/;נתנאל֜
YW<R/;צוער֜
>LJ>B/;אליאב֜
XLN/;חלן֜
>LJCM</;אלישׁמע֜
<MJHWD/;עמיהוד֜
GMLJ>L/;גמליאל֜
PDHYWR/;פדהצור֜
>BJDN/;אבידן֜
GD<NJ/;גדעני֜
>XJ<ZR/;אחיעזר֜
<MJCDJ/;עמישׁדי֜
PG<J>L/;פגעיאל֜
<KRN/;עכרן֜
>LJSP/;אליסף֜
D<W>L/;דעואל֜
>XJR</;אחירע֜
<JNN/;עינן֜
>LP==/;אלף֜
QRB=/;קרב֜
DGL/;דגל֜
QYP/;קצף֜
LBNJ/;לבני֜
CM<J/;שׁמעי֜
GRCNJ/;גרשׁני֜
L>L/;לאל֜
<MRMJ/;עמרמי֜
JYHRJ/;יצהרי֜
XBRNJ/;חברני֜
<ZJ>LJ/;עזיאלי֜
QHTJ/;קהתי֜
>LJYPN/;אליצפן֜
PQDH/;פקדה֜
MXLJ/;מחלי֜
MWCJ/;מושׁי֜
YWRJ>L/;צוריאל֜
>BJXJL/;אביחיל֜
PDWJM/;פדוים֜
PDJWM/;פדיום֜
KSWJ/;כסוי֜
MWV/;מוט֜
CRT/;שׁרת֜
FVH[;שׂטה
QN>H/;קנאה֜
QRQ</;קרקע֜
YBH/;צבה֜
YBH[;צבה
>MN;אמן
XMY=/;חמץ֜
MCRH/;משׁרה֜
JBC/;יבשׁ֜
XRYN/;חרצן֜
ZG/;זג֜
T<R/;תער֜
PR</;פרע֜
PT</;פתע֜
PT>M;פתאם
YB=/;צב֜
XNKH/;חנכה֜
PVRH/;פטרה֜
XYYRH/;חצצרה֜
RW<[;רוע
XBB/;חבב֜
TWR[;תור
>NN[;אנן
CQ<[;שׁקע
TB<RH/;תבערה֜
>SPSP/;אספסף֜
>WH[;אוה
QC>H/;קשׁאה֜
>BVJX/;אבטיח֜
XYJR=/;חציר֜
BYL/;בצל֜
CWMJM/;שׁומים֜
CWV[;שׁוט
DWK[;דוך
MDKH/;מדכה֜
PRWR/;פרור֜
LCD/;לשׁד֜
ZR>/;זרא֜
QYR[;קצר
NB>[;נבא
>LDD/;אלדד֜
MJDD/;מידד֜
BXRJM/;בחרים֜
GWZ[;גוז
CVX[;שׁטח
QBRWT_HT>WH/;קברות התאוה֜
XYRWT/;חצרות֜
KCJ/;כשׁי֜
<NW/;ענו֜
XJDH/;חידה֜
J>L=[;יאל
JRQ[;ירק
KLM[;כלם
CMW</;שׁמוע֜
ZKWR==/;זכור֜
CPV=/;שׁפט֜
KLB=/;כלב֜
JPNH/;יפנה֜
JG>L/;יגאל֜
HWC</;הושׁע֜
PLVJ=/;פלטי֜
RPW>/;רפוא֜
GDJ>L/;גדיאל֜
SWDJ/;סודי֜
GDJ==/;גדי֜
SWSJ/;סוסי֜
<MJ>L/;עמיאל֜
GMLJ/;גמלי֜
STWR/;סתור֜
MJK>L/;מיכאל֜
NXBJ/;נחבי֜
WPSJ/;ופסי֜
G>W>L/;גאואל֜
MKJ/;מכי֜
RPH/;רפה֜
MBYR/;מבצר֜
RZH/;רזה֜
YN=/;צן֜
RXB====/;רחב֜
XMT=/;חמת֜
>XJMN/;אחימן֜
CCJ=/;שׁשׁי֜
TLMJ/;תלמי֜
<NQ/;ענק֜
Y<N/;צען֜
>CKL=/;אשׁכל֜
ZMWRH/;זמורה֜
>PS/;אפס֜
BYWR/;בצור֜
HSH[;הסה
BZ/;בז֜
N>Y[;נאץ
GDL/;גדל֜
ZNWT/;זנות֜
TNW>H/;תנואה֜
<PL[;עפל
XRMH/;חרמה֜
CLJCJT/;שׁלישׁית֜
<RJSH/;עריסה֜
XV>H==/;חטאה֜
GDP[;גדף
YJYT/;ציצת֜
DTN=/;דתן֜
>BJRM/;אבירם֜
>WN===/;און֜
PLT/;פלת֜
QRJ>/;קריא֜
FRR[;שׂרר
NQR[;נקר
BRJ>H/;בריאה֜
RQ</;רקע֜
RMM=[;רמם
MHRH/;מהרה֜
YWY[;צוץ
MRJ/;מרי֜
MCXH===/;משׁחה֜
JYHR/;יצהר֜
XLP/;חלף֜
JQB/;יקב֜
YMJD=/;צמיד֜
SL</;סלע֜
MSLH/;מסלה֜
MKR/;מכר֜
HR=/;הר֜
<RD/;ערד֜
>TRJM/;אתרים֜
QLQL/;קלקל֜
FRP/;שׂרף֜
>BT/;אבת֜
<JJ_H<BRJM/;עיי העברים֜
ZRD/;זרד֜
>RNWN/;ארנון֜
WHB/;והב֜
SWPH=/;סופה֜
>CD/;אשׁד֜
<R==/;ער֜
B>R=/;באר֜
MTNH=/;מתנה֜
NXLJ>L/;נחליאל֜
BMWT/;במות֜
GJ>/;גיא֜
PSGH/;פסגה֜
JCJMN/;ישׁימן֜
SJXWN/;סיחון֜
JHYH/;יהצה֜
XCBWN==/;חשׁבון֜
MCL=[;משׁל
LHBH/;להבה֜
QRJH/;קריה֜
>WJ;אוי
KMWC/;כמושׁ֜
PLJV=/;פליט֜
CBJT/;שׁבית֜
DJBN/;דיבן֜
NPX/;נפח֜
MJDB>/;מידבא֜
J<ZR/;יעזר֜
LKD[;לכד
BCN/;בשׁן֜
<WG/;עוג֜
>DR<J/;אדרעי֜
FRJD/;שׂריד֜
<RBH/;ערבה֜
JRJXW/;יריחו֜
BLQ/;בלק֜
YPWR=/;צפור֜
GWR==[;גור
LXK[;לחך
BL<M/;בלעם֜
PTWR/;פתור֜
QSM/;קסם֜
QBB[;קבב
FVN/;שׂטן֜
CLP[;שׁלף
MC<WL/;משׁעול֜
GDR/;גדר֜
YR/;צר֜
SKN[;סכן
JRV[;ירט
QRJT_XYWT/;קרית חצות֜
BMWT_B<L/;במות בעל֜
CPJ/;שׁפי֜
MCL/;משׁל֜
Z<M[;זעם
CWR[;שׁור
RB<==/;רבע֜
KZB[;כזב
>WN=/;און֜
TW<PWT/;תועפות֜
R>M/;ראם֜
NXC=/;נחשׁ֜
>RJ/;ארי֜
JCR[;ישׁר
P<WR/;פעור֜
CTM/;שׁתם֜
>MR/;אמר֜
GNH/;גנה֜
>HL==/;אהל֜
DLJ/;דלי֜
>GG/;אגג֜
MLKWT/;מלכות֜
GRM[;גרם
MXY[;מחץ
SPQ[;ספק
DRK[;דרך
QRQR/;קרקר֜
CT=/;שׁת֜
JRCH=/;ירשׁה֜
QJN==/;קין֜
YJ=/;צי֜
CVJM/;שׁטים֜
YMD[;צמד
B<L_P<WR/;בעל פעור֜
RMX/;רמח֜
QBH=/;קבה֜
DQR[;דקר
QBH/;קבה֜
ZMRJ/;זמרי֜
SLW>/;סלוא֜
CM<NJ/;שׁמעני֜
KZBJ/;כזבי֜
YWR==/;צור֜
NKL/;נכל֜
XNKJ/;חנכי֜
PL>J=/;פלאי֜
XYRWNJ/;חצרוני֜
KRMJ/;כרמי֜
R>WBNJ/;ראובני֜
NMW>L/;נמואל֜
NMW>LJ/;נמואלי֜
JMJNJ=/;ימיני֜
JKJNJ/;יכיני֜
ZRXJ/;זרחי֜
C>WLJ/;שׁאולי֜
YPWN==/;צפון֜
YPWNJ/;צפוני֜
XGJ/;חגי֜
CWNJ/;שׁוני֜
>ZNJ=/;אזני֜
>ZNJ/;אזני֜
<RJ/;ערי֜
>RWD/;ארוד֜
>RWDJ=/;ארודי֜
>R>LJ/;אראלי֜
CLNJ/;שׁלני֜
PRYJ/;פרצי֜
XMWLJ/;חמולי֜
TWL<J/;תולעי֜
PWNJ/;פוני֜
JCWB/;ישׁוב֜
JCBJ/;ישׁבי֜
CMRNJ/;שׁמרני֜
SRDJ/;סרדי֜
>LNJ/;אלני֜
JXL>LJ/;יחלאלי֜
ZBWLNJ/;זבולני֜
MKJRJ/;מכירי֜
GL<DJ/;גלעדי֜
>J<ZR/;איעזר֜
>J<ZRJ/;איעזרי֜
XLQ====/;חלק֜
XLQJ/;חלקי֜
>FRJ>L/;אשׂריאל֜
>FRJ>LJ/;אשׂריאלי֜
CKM===/;שׁכם֜
CKMJ/;שׁכמי֜
CMJD</;שׁמידע֜
CMJD<J/;שׁמידעי֜
XPR/;חפר֜
XPRJ/;חפרי֜
YLPXD/;צלפחד֜
MXLH====/;מחלה֜
N<H/;נעה֜
XGLH/;חגלה֜
TRYH=/;תרצה֜
CWTLX/;שׁותלח֜
CTLXJ/;שׁתלחי֜
BKRJ/;בכרי֜
TXN/;תחן֜
TXNJ/;תחני֜
<RN/;ערן֜
<RNJ/;ערני֜
BL<J/;בלעי֜
>CBLJ/;אשׁבלי֜
>XJRM/;אחירם֜
>XJRMJ/;אחירמי֜
CPWPM/;שׁפופם֜
CWPMJ/;שׁופמי֜
XWPM/;חופם֜
XWPMJ/;חופמי֜
>RDJ/;ארדי֜
N<MJ/;נעמי֜
CWXM/;שׁוחם֜
CWXMJ/;שׁוחמי֜
JCWJ/;ישׁוי֜
BRJ<J/;בריעי֜
XBRJ/;חברי֜
MLKJ>LJ/;מלכיאלי֜
JXY>LJ/;יחצאלי֜
GWNJ/;גוני֜
JYRJ/;יצרי֜
CLMJ/;שׁלמי֜
MRRJ/;מררי֜
<BRJM/;עברים֜
HWD/;הוד֜
>SR/;אסר֜
NW>[;נוא
MBV>/;מבטא֜
MWY>/;מוצא֜
NQMH/;נקמה֜
MSR[;מסר
>WJ/;אוי֜
RQM/;רקם֜
RB<====/;רבע֜
MLQWX/;מלקוח֜
BDJL=/;בדיל֜
MKS/;מכס֜
MXYH/;מחצה֜
>Y<DH/;אצעדה֜
<GJL/;עגיל֜
<VRWT/;עטרות֜
NMRH/;נמרה֜
>L<LH/;אלעלה֜
FBM/;שׂבם֜
NBW=/;נבו֜
B<N/;בען֜
QDC_BRN</;קדשׁ ברנע֜
TRBWT/;תרבות֜
GDRH/;גדרה֜
XWC[;חושׁ
YN>/;צנא֜
GBWLH/;גבולה֜
<RW<R=/;ערוער֜
<VRWT_CWPN/;עטרות שׁופן֜
JGBHH/;יגבהה֜
BJT_NMRH/;בית נמרה֜
BJT_HRN/;בית הרן֜
B<L_M<WN/;בעל מעון֜
FBMH/;שׂבמה֜
J>JR/;יאיר֜
XWH/;חוה֜
NBX=/;נבח֜
QNT/;קנת֜
NBX/;נבח֜
HXJRWT/;החירות֜
DPQH/;דפקה֜
>LWC/;אלושׁ֜
RTMH/;רתמה֜
RMWN_PRY/;רמון פרץ֜
LBNH====/;לבנה֜
RSH/;רסה֜
QHLTH/;קהלתה֜
CPR=/;שׁפר֜
XRDH=/;חרדה֜
MQHLT/;מקהלת֜
TXT=/;תחת֜
TRX=/;תרח֜
MTQH/;מתקה֜
XCMNH/;חשׁמנה֜
MSRWT/;מסרות֜
BNJ_J<QN/;בני יעקן֜
XR_HGDGD/;חר הגדגד֜
JVBTH/;יטבתה֜
<BRNH/;עברנה֜
<YJWN_GBR/;עציון גבר֜
YLMNH/;צלמנה֜
PWNN/;פונן֜
<JJM/;עיים֜
<LMWN_DBLTJMH/;עלמון דבלתימה֜
BJT_HJCMWT/;בית הישׁמות֜
>BL_HCVJM/;אבל השׁטים֜
FK/;שׂך֜
YNJNJM/;צנינים֜
DMH[;דמה
M<LH_<QRBJM/;מעלה עקרבים֜
TWY>WT/;תוצאות֜
XYR_>DR/;חצר אדר֜
<YMWN/;עצמון֜
T>H[;תאה
YDD/;צדד֜
ZPRWN/;זפרון֜
XYR_<JNN/;חצר עינן֜
CPM/;שׁפם֜
RBLH/;רבלה֜
<JN=/;עין֜
MXH=[;מחה
KNRT/;כנרת֜
GDJ=/;גדי֜
CMW>L/;שׁמואל֜
>LJDD/;אלידד֜
KSLWN=/;כסלון֜
BQJ/;בקי֜
JGLJ/;יגלי֜
XNJ>L/;חניאל֜
>PD=/;אפד֜
CPVN/;שׁפטן֜
PRNK/;פרנך֜
PLVJ>L/;פלטיאל֜
<ZN/;עזן֜
>XJHWD/;אחיהוד֜
CLMJ=/;שׁלמי֜
PDH>L/;פדהאל֜
MQLV/;מקלט֜
FN>H/;שׂנאה֜
HDP[;הדף
YDJH/;צדיה֜
XNP[;חנף
SWP==/;סוף֜
TPL==/;תפל֜
LBN==/;לבן֜
DJ_ZHB/;די זהב֜
<CTRWT/;עשׁתרות֜
B>R[;באר
CPLH=/;שׁפלה֜
LBNWN/;לבנון֜
>JKH;איכה
VRX/;טרח֜
XTT[;חתת
RGN[;רגן
<RY[;ערץ
ZWLH/;זולה֜
>NP[;אנף
MLXMT/;מלחמת֜
HWN[;הון
DBWRH/;דבורה֜
GRH[;גרה
MDRK/;מדרך֜
JRCH/;ירשׁה֜
KRH=[;כרה
>JLT/;אילת֜
YWR=[;צור
MW>BJ/;מואבי֜
<MWNJ/;עמוני֜
ZMZMJM/;זמזמים֜
<WJ/;עוי֜
KPTWR=/;כפתור֜
XJL[;חיל
QDMWT/;קדמות֜
FGB[;שׂגב
XBL=/;חבל֜
>RGB/;ארגב֜
PRZJ=/;פרזי֜
XRMWN/;חרמון֜
YJDNJ/;צידני֜
FRJN/;שׂרין֜
FNJR/;שׂניר֜
MJCWR/;מישׁור֜
SLKH/;סלכה֜
<RF/;ערשׂ֜
RBH/;רבה֜
GCWRJ/;גשׁורי֜
M<KTJ/;מעכתי֜
MMLKH/;ממלכה֜
<BR=[;עבר
BJT_P<WR/;בית פעור֜
LMD[;למד
DBQ=/;דבק֜
BJNH/;בינה֜
SML/;סמל֜
NDX[;נדח
KWR/;כור֜
K<S[;כעס
MSH/;מסה֜
BYR=/;בצר֜
RMT=/;רמת֜
GWLN/;גולן֜
MNCJ/;מנשׁי֜
FJ>N/;שׂיאן֜
CNN=[;שׁנן
XYB[;חצב
GD<[;גדע
PSJL/;פסיל֜
>LP/;אלף֜
<CTRT=/;עשׁתרת֜
XLJ/;חלי֜
MDWH/;מדוה֜
HWM[;הום
MHWMH/;מהומה֜
JQC[;יקשׁ
T<B[;תעב
BYQ[;בצק
MSKNT/;מסכנת֜
<QRB/;עקרב֜
YM>WN/;צמאון֜
XLMJC/;חלמישׁ֜
<YM=/;עצם֜
RC<H/;רשׁעה֜
JCR=/;ישׁר֜
JGR[;יגר
QCJ/;קשׁי֜
RC<=/;רשׁע֜
B>RT_BNJ_J<QN/;בארת בני יעקן֜
MWSRH=/;מוסרה֜
GDGD/;גדגד֜
MWSR/;מוסר֜
YWP[;צוף
JRQ=/;ירק֜
JWRH/;יורה֜
MLQWC/;מלקושׁ֜
GRZJM/;גרזים֜
<JBL/;עיבל֜
MBW>/;מבוא֜
GLGL===/;גלגל֜
R<NN/;רענן֜
MCLX/;משׁלח֜
>WH/;אוה֜
YBJ=/;צבי֜
>JL/;איל֜
NQC[;נקשׁ
SRH/;סרה֜
SWT[;סות
STR/;סתר֜
BLJ<L/;בליעל֜
XQR[;חקר
TL/;תל֜
GDD[;גדד
JXMWR/;יחמור֜
>QW/;אקו֜
DJCWN/;דישׁון֜
T>W/;תאו֜
ZMR/;זמר֜
R>H=/;ראה֜
DJH/;דיה֜
RXMH/;רחמה֜
YWR[;צור
CMVH/;שׁמטה֜
MCH/;משׁה֜
<BV[;עבט
QPY[;קפץ
MXSWR/;מחסור֜
<NQ[;ענק
XRMC/;חרמשׁ֜
MSH=/;מסה֜
FMX/;שׂמח֜
DJN/;דין֜
RJBH/;ריבה֜
ZDWN/;זדון֜
LXJ/;לחי֜
GZ/;גז֜
QSM[;קסם
XBR=/;חבר֜
J<R/;יער֜
XVB[;חטב
GRZN/;גרזן֜
>RB[;ארב
SWG[;סוג
RKK[;רכך
XPZ[;חפז
XNK[;חנך
MYWR=/;מצור֜
CBJH=/;שׁביה֜
YPRN/;צפרן֜
<MR[;עמר
FNJ>/;שׂניא֜
SRR[;סרר
ZLL[;זלל
SB>[;סבא
>PRX/;אפרח֜
BJYH/;ביצה֜
M<QH/;מעקה֜
GDL==/;גדל֜
<LJLH/;עלילה֜
PY<[;פצע
DKH/;דכה֜
CPKH/;שׁפכה֜
MMZR/;ממזר֜
QDM[;קדם
>DMJ/;אדמי֜
QRH=/;קרה֜
>ZN=/;אזן֜
Y>H/;צאה֜
>TNN/;אתנן֜
MXJR/;מחיר֜
NCK=[;נשׁך
QVP[;קטף
MLJLH/;מלילה֜
KRJTWT/;כריתות֜
MC>H/;משׁאה֜
<BWV/;עבוט֜
XBV[;חבט
P>R=[;פאר
QLH=[;קלה
XSM[;חסם
DWC[;דושׁ
JBM/;יבם֜
JBMT/;יבמת֜
MBWCJM/;מבושׁים֜
KJS/;כיס֜
ZNB[;זנב
XCL[;חשׁל
JG</;יגע֜
VN>/;טנא֜
>NH/;אנה֜
M<WN/;מעון֜
FJD[;שׂיד
FJD/;שׂיד֜
SKT[;סכת
>SM/;אסם֜
>WYR/;אוצר֜
M>RH/;מארה֜
MG<RT/;מגערת֜
M<LL/;מעלל֜
DLQT/;דלקת֜
XRXR/;חרחר֜
CDPWN/;שׁדפון֜
JRQWN/;ירקון֜
Z<WH/;זעוה֜
VXRJM/;טחרים֜
XRS/;חרס֜
CG<WN/;שׁגעון֜
<WRWN/;עורון֜
TMHWN/;תמהון֜
KLH==/;כלה֜
CG<[;שׁגע
CMH/;שׁמה֜
CNJNH/;שׁנינה֜
XSL[;חסל
>GR[;אגר
SWK[;סוך
YLYL/;צלצל֜
XSR==/;חסר֜
D>H[;דאה
BVX[;בטח
MYWQ/;מצוק֜
YWQ[;צוק
<NG/;ענג֜
<NG[;ענג
RK=/;רך֜
CLJH/;שׁליה֜
FWF[;שׂושׂ
NSX[;נסח
RG<[;רגע
RGZ=/;רגז֜
KLJWN/;כליון֜
D>BWN/;דאבון֜
TL>[;תלא
PXD[;פחד
CQWY/;שׁקוץ֜
CRC/;שׁרשׁ֜
R>C=/;ראשׁ֜
L<NH/;לענה֜
CRRWT/;שׁררות֜
RWH/;רוה֜
YM>/;צמא֜
TXL>JM/;תחלאים֜
MHPKH/;מהפכה֜
NTC[;נתשׁ
CWB=[;שׁוב
CBWT/;שׁבות֜
<RP[;ערף
LQX/;לקח֜
F<JR==/;שׂעיר֜
RBJBJM/;רביבים֜
P<L/;פעל֜
<QC/;עקשׁ֜
PTLTL/;פתלתל֜
NBL/;נבל֜
JLL/;ילל֜
JCJMWN/;ישׁימון֜
>JCWN/;אישׁון֜
<WR[;עור
>BRH/;אברה֜
TNWBH/;תנובה֜
FDJ/;שׂדי֜
KR/;כר֜
XMR===/;חמר֜
CMN[;שׁמן
JCRWN/;ישׁרון֜
B<V[;בעט
<BH[;עבה
KFH[;כשׂה
>LWH/;אלוה֜
CD==/;שׁד֜
F<R==[;שׂער
CJH[;שׁיה
K<S/;כעס֜
THPKWT/;תהפכות֜
>MN/;אמן֜
HBL/;הבל֜
QDX[;קדח
LHV[;להט
MWSD/;מוסד֜
MZH/;מזה֜
LXM=[;לחם
RCP/;רשׁף֜
QVB/;קטב֜
MRJRJ/;מרירי֜
ZXL[;זחל
