lex1;lex_utf81
<NN[;ענן
KN<N/;כנען֜
NPY[;נפץ
KRM/;כרם֜
CTH[;שׁתה
JJN/;יין֜
CKR[;שׁכר
GLH[;גלה
<RWH/;ערוה֜
FMLH/;שׂמלה֜
CKM/;שׁכם֜
>XRNJT;אחרנית
JQY[;יקץ
QVN=/;קטן֜
<BD/;עבד֜
PTH=[;פתה
GMR/;גמר֜
MGWG/;מגוג֜
MDJ/;מדי֜
JWN=/;יון֜
TBL==/;תבל֜
MCK=/;משׁך֜
TJRS/;תירס֜
>CKNZ/;אשׁכנז֜
RJPT/;ריפת֜
TWGRMH/;תוגרמה֜
>LJCH/;אלישׁה֜
TRCJC=/;תרשׁישׁ֜
KTJ/;כתי֜
DDNJ=/;דדני֜
>J/;אי֜
GWJ/;גוי֜
LCWN/;לשׁון֜
MYRJM/;מצרים֜
PWV/;פוט֜
KWC=/;כושׁ֜
SB>==/;סבא֜
SBT>/;סבתא֜
R<MH=/;רעמה֜
SBTK>/;סבתכא֜
CB>/;שׁבא֜
DDN/;דדן֜
NMRD/;נמרד֜
YJD/;ציד֜
MMLKT/;ממלכת֜
BBL/;בבל֜
>RK===/;ארך֜
>KD/;אכד֜
KLNH/;כלנה֜
CN<R/;שׁנער֜
NJNWH/;נינוה֜
RXBT_<JR/;רחבת עיר֜
KLX=/;כלח֜
RSN=/;רסן֜
LWDJM/;לודים֜
<NMJM/;ענמים֜
LHBJM/;להבים֜
NPTXJM/;נפתחים֜
PTRSJM/;פתרסים֜
KSLXJM/;כסלחים֜
PLCTJ/;פלשׁתי֜
KPTRJ/;כפתרי֜
YJDWN/;צידון֜
XT==/;חת֜
JBWSJ/;יבוסי֜
>MRJ/;אמרי֜
GRGCJ/;גרגשׁי֜
XWJ/;חוי֜
<RQJ/;ערקי֜
SJNJ/;סיני֜
>RWDJ/;ארודי֜
YMRJ/;צמרי֜
XMTJ/;חמתי֜
PWY[;פוץ
KN<NJ/;כנעני֜
GBWL/;גבול֜
GRR/;גרר֜
<ZH/;עזה֜
SDM/;סדם֜
<MRH/;עמרה֜
>DMH=/;אדמה֜
YB>JM/;צבאים֜
LC</;לשׁע֜
<BR=/;עבר֜
<JLM/;עילם֜
>RPKCD/;ארפכשׁד֜
LWD/;לוד֜
>RM/;ארם֜
<WY/;עוץ֜
XWL==/;חול֜
GTR/;גתר֜
MC/;משׁ֜
CLX==/;שׁלח֜
PLG=/;פלג֜
PLG[;פלג
JQVN/;יקטן֜
>LMWDD/;אלמודד֜
CLP/;שׁלף֜
XYRMWT/;חצרמות֜
JRX==/;ירח֜
HDWRM/;הדורם֜
>WZL/;אוזל֜
DQLH/;דקלה֜
<WBL/;עובל֜
>BJM>L/;אבימאל֜
>WPJR/;אופיר֜
JWBB/;יובב֜
MWCB/;מושׁב֜
MC>=/;משׁא֜
SPR===/;ספר֜
FPH/;שׂפה֜
DBR/;דבר֜
NS<[;נסע
BQ<H/;בקעה֜
R<=/;רע֜
JHB[;יהב
LBN=[;לבן
LBNH/;לבנה֜
FRP[;שׂרף
FRPH/;שׂרפה֜
XMR==/;חמר֜
XMR/;חמר֜
MGDL/;מגדל֜
JRD[;ירד
<M/;עם֜
BYR=[;בצר
ZMM[;זמם
BLL[;בלל
XDL[;חדל
R<W/;רעו֜
FRWG/;שׂרוג֜
NXWR/;נחור֜
TRX/;תרח֜
>BRM/;אברם֜
HRN/;הרן֜
LWV=/;לוט֜
MWLDT/;מולדת֜
>WR===/;אור֜
KFDJM/;כשׂדים֜
FRJ/;שׂרי֜
MLKH=/;מלכה֜
JSKH/;יסכה֜
<QR/;עקר֜
WLD/;ולד֜
KLH/;כלה֜
XRN/;חרן֜
GDL[;גדל
BRKH/;ברכה֜
RKWC/;רכושׁ֜
RKC[;רכשׁ
CKM=/;שׁכם֜
>LWN/;אלון֜
MWRH===/;מורה֜
<TQ[;עתק
BJT_>L/;בית אל֜
NVH[;נטה
<J=/;עי֜
NGB/;נגב֜
R<B/;רעב֜
GWR[;גור
KBD/;כבד֜
QRB[;קרב
N>;נא
JPH/;יפה֜
>T=;את
MYRJ/;מצרי֜
LM<N;למען
GLL/;גלל֜
FR/;שׂר֜
PR<H/;פרעה֜
